time (s)	det(V)
3607.966089	-0.011451	
3607.968089	-0.016688	
3607.970090	-0.012633	
3607.972090	-0.012103	
3607.976087	-0.014316	
3607.978089	-0.015097	
3607.980089	-0.016091	
3607.984089	-0.015412	
3607.986090	-0.013057	
3607.988089	-0.010376	
3607.990089	-0.012218	
3607.992089	-0.012016	
3607.994089	-0.011799	
3607.998090	-0.016480	
3608.002090	-0.014419	
3608.004091	-0.010121	
3608.006091	-0.011016	
3608.008091	-0.013359	
3608.010091	-0.009183	
3608.014089	-0.012631	
3608.016090	-0.010087	
3608.018090	-0.017840	
3608.022090	-0.012807	
3608.024091	-0.012911	
3608.026091	-0.009251	
3608.028091	-0.012055	
3608.030091	-0.012399	
3608.032091	-0.011726	
3608.034094	-0.013632	
3608.038091	-0.013758	
3608.040092	-0.011127	
3608.042092	-0.011092	
3608.044092	-0.010191	
3608.046092	-0.012921	
3608.048091	-0.011643	
3608.050091	-0.012564	
3608.052091	-0.012488	
3608.054091	-0.010610	
3608.058097	-0.012624	
3608.060098	-0.009772	
3608.062098	-0.011615	
3608.064097	-0.011054	
3608.066098	-0.007380	
3608.068097	-0.013608	
3608.070098	-0.009116	
3608.072097	-0.009764	
3608.074097	-0.013018	
3608.076099	-0.010026	
3608.080097	-0.012710	
3608.082098	-0.010092	
3608.084098	-0.009780	
3608.086097	-0.009615	
3608.088098	-0.007245	
3608.090098	-0.008324	
3608.094095	-0.009311	
3608.098095	-0.012686	
3608.100098	-0.009288	
3608.102098	-0.008487	
3608.104097	-0.006225	
3608.106097	-0.007284	
3608.108097	-0.008848	
3608.110096	-0.005153	
3608.114096	-0.010586	
3608.118096	-0.006669	
3608.120104	-0.007071	
3608.122102	-0.005786	
3608.124103	-0.007973	
3608.126102	-0.003578	
3608.128104	-0.007090	
3608.130103	-0.007148	
3608.132102	-0.009005	
3608.136102	-0.009459	
3608.140103	-0.005359	
3608.142104	-0.005768	
3608.144106	-0.005057	
3608.146103	-0.008301	
3608.148103	-0.006320	
3608.152102	-0.006043	
3608.154103	-0.005883	
3608.156103	-0.007125	
3608.160103	-0.009008	
3608.162103	-0.006658	
3608.164103	-0.006310	
3608.166103	-0.003056	
3608.168103	-0.008674	
3608.170103	-0.004793	
3608.174102	-0.006738	
3608.178104	-0.005382	
3608.180103	-0.006866	
3608.182103	-0.005276	
3608.184104	-0.005415	
3608.186103	-0.005566	
3608.190102	-0.002572	
3608.192103	-0.006347	
3608.194103	-0.006062	
3608.198102	-0.008732	
3608.200103	-0.004852	
3608.202102	-0.005081	
3608.204103	-0.002970	
3608.206103	-0.003556	
3608.210101	-0.005368	
3608.212102	-0.007633	
3608.214103	-0.006622	
3608.218105	-0.003007	
3608.220107	-0.002296	
3608.222105	-0.002122	
3608.224105	-0.004398	
3608.226105	-0.000911	
3608.228106	-0.003258	
3608.232104	-0.006275	
3608.236104	-0.005246	
3608.238105	-0.000453	
3608.240107	-0.001799	
3608.242105	-0.002033	
3608.244105	-0.001216	
3608.248103	-0.003907	
3608.250105	-0.004139	
3608.252104	-0.004540	
3608.256105	-0.001934	
3608.258106	-0.002510	
3608.260106	0.000846	
3608.262106	-0.002884	
3608.264105	-0.002078	
3608.266104	0.001433	
3608.270107	-0.007310	
3608.274105	-0.001712	
3608.276106	0.000523	
3608.280103	-0.002796	
3608.282106	-0.002121	
3608.286104	-0.001805	
3608.288106	-0.002335	
3608.290105	-0.003390	
3608.294105	-0.003912	
3608.296106	-0.005369	
3608.298106	-0.003611	
3608.300105	-0.004701	
3608.302106	-0.004717	
3608.304105	-0.002446	
3608.308105	-0.008115	
3608.312106	-0.005127	
3608.314107	-0.006928	
3608.316105	-0.003249	
3608.318105	-0.009841	
3608.320110	-0.005742	
3608.322104	-0.005863	
3608.324104	-0.010880	
3608.328104	-0.008305	
3608.330105	-0.012714	
3608.332106	-0.011689	
3608.334108	-0.010716	
3608.336106	-0.011147	
3608.338105	-0.009102	
3608.340105	-0.011577	
3608.342105	-0.012128	
3608.344104	-0.012892	
3608.348105	-0.019245	
3608.352104	-0.018396	
3608.354106	-0.015779	
3608.356106	-0.017979	
3608.358105	-0.020912	
3608.360104	-0.018467	
3608.364104	-0.022971	
3608.366105	-0.023834	
3608.368105	-0.030817	
3608.372104	-0.027991	
3608.374106	-0.031527	
3608.376105	-0.030377	
3608.378105	-0.034531	
3608.380105	-0.037514	
3608.382106	-0.038869	
3608.386105	-0.042456	
3608.390104	-0.045477	
3608.392105	-0.050850	
3608.394106	-0.053535	
3608.396105	-0.060425	
3608.398104	-0.062284	
3608.402104	-0.066004	
3608.404106	-0.075155	
3608.406104	-0.080623	
3608.410105	-0.087583	
3608.412105	-0.097241	
3608.414105	-0.103265	
3608.416106	-0.107060	
3608.418105	-0.119549	
3608.420105	-0.123262	
3608.424103	-0.133033	
3608.428105	-0.149362	
3608.430106	-0.170558	
3608.432105	-0.179782	
3608.434105	-0.190982	
3608.436106	-0.202745	
3608.440103	-0.212449	
3608.442105	-0.242127	
3608.444105	-0.255662	
3608.448104	-0.272862	
3608.450105	-0.301042	
3608.452106	-0.317707	
3608.454106	-0.333830	
3608.456106	-0.352222	
3608.458105	-0.373267	
3608.460109	-0.390736	
3608.464106	-0.412550	
3608.466107	-0.446280	
3608.468107	-0.470502	
3608.470108	-0.488625	
3608.472108	-0.510898	
3608.474109	-0.537333	
3608.476107	-0.557841	
3608.478107	-0.584527	
3608.480107	-0.611189	
3608.484118	-0.634061	
3608.486119	-0.684130	
3608.488120	-0.705786	
3608.490119	-0.732901	
3608.492120	-0.758754	
3608.494120	-0.783893	
3608.496119	-0.811844	
3608.500118	-0.836385	
3608.502120	-0.887794	
3608.504119	-0.909392	
3608.508120	-0.935021	
3608.510120	-0.978313	
3608.512120	-1.004109	
3608.514120	-1.025513	
3608.516118	-1.042771	
3608.518119	-1.067279	
3608.520119	-1.083990	
3608.524125	-1.101275	
3608.526126	-1.130906	
3608.528124	-1.145020	
3608.530125	-1.158099	
3608.532126	-1.167035	
3608.534124	-1.175118	
3608.536125	-1.181290	
3608.538125	-1.183245	
3608.542126	-1.187538	
3608.546127	-1.184145	
3608.548127	-1.168466	
3608.550127	-1.157496	
3608.552127	-1.144317	
3608.554127	-1.125001	
3608.558125	-1.106402	
3608.560127	-1.059364	
3608.562126	-1.035158	
3608.566128	-1.004224	
3608.568127	-0.935611	
3608.570129	-0.892793	
3608.572127	-0.851873	
3608.574128	-0.810171	
3608.578125	-0.762002	
3608.580128	-0.670454	
3608.582127	-0.619676	
3608.584128	-0.567524	
3608.586127	-0.512635	
3608.588127	-0.454866	
3608.590127	-0.406820	
3608.592127	-0.351290	
3608.594127	-0.293483	
3608.598125	-0.239612	
3608.602126	-0.124020	
3608.604127	-0.003477	
3608.606128	0.052330	
3608.608127	0.107327	
3608.610127	0.166360	
3608.612128	0.217822	
3608.614127	0.272842	
3608.618126	0.328810	
3608.622125	0.424100	
3608.624129	0.522982	
3608.626128	0.573361	
3608.628130	0.616802	
3608.630135	0.658523	
3608.632135	0.702268	
