crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	13.010283	4358	0.000000
281474976710655.000000	13.321632	4359	0.000000
281474976710655.000000	16.711044	4360	0.000000
281474976710655.000000	9.707314	4361	0.000000
281474976710655.000000	12.377368	4362	0.000000
281474976710655.000000	11.367743	4363	0.000000
281474976710655.000000	13.993507	4364	0.000000
281474976710655.000000	12.675403	4365	0.000000
281474976710655.000000	15.895744	4366	0.000000
281474976710655.000000	9.854467	4367	0.000000
281474976710655.000000	12.083602	4368	0.000000
281474976710655.000000	12.813721	4369	0.000000
281474976710655.000000	15.820519	4370	0.000000
281474976710655.000000	9.889147	4371	0.000000
281474976710655.000000	13.843496	4372	0.000000
281474976710655.000000	10.902799	4373	0.000000
281474976710655.000000	15.572413	4374	0.000000
281474976710655.000000	9.638630	4375	0.000000
281474976710655.000000	13.644515	4376	0.000000
281474976710655.000000	11.987212	4377	0.000000
281474976710655.000000	14.962856	4378	0.000000
281474976710655.000000	11.170481	4379	0.000000
281474976710655.000000	12.617979	4380	0.000000
281474976710655.000000	11.628389	4381	0.000000
281474976710655.000000	15.764489	4382	0.000000
281474976710655.000000	9.758528	4383	0.000000
281474976710655.000000	13.739186	4384	0.000000
281474976710655.000000	12.621742	4385	0.000000
281474976710655.000000	14.948628	4386	0.000000
281474976710655.000000	10.772791	4387	0.000000
281474976710655.000000	13.192888	4388	0.000000
281474976710655.000000	11.282563	4389	0.000000
281474976710655.000000	15.014332	4390	0.000000
281474976710655.000000	10.073394	4391	0.000000
281474976710655.000000	13.681529	4392	0.000000
281474976710655.000000	12.152810	4393	0.000000
281474976710655.000000	14.462050	4394	0.000000
281474976710655.000000	11.061578	4395	0.000000
281474976710655.000000	13.463502	4396	0.000000
281474976710655.000000	11.328157	4397	0.000000
281474976710655.000000	15.561529	4398	0.000000
281474976710655.000000	9.649371	4399	0.000000
281474976710655.000000	13.649725	4400	0.000000
281474976710655.000000	10.346431	4401	0.000000
281474976710655.000000	14.738753	4402	0.000000
281474976710655.000000	10.636459	4403	0.000000
281474976710655.000000	14.839378	4404	0.000000
281474976710655.000000	10.592936	4405	0.000000
281474976710655.000000	14.588611	4406	0.000000
281474976710655.000000	10.726196	4407	0.000000
281474976710655.000000	14.154012	4408	0.000000
281474976710655.000000	10.771072	4409	0.000000
281474976710655.000000	14.437548	4410	0.000000
281474976710655.000000	9.852498	4411	0.000000
281474976710655.000000	13.757266	4412	0.000000
281474976710655.000000	10.880889	4413	0.000000
281474976710655.000000	15.368531	4414	0.000000
281474976710655.000000	10.467859	4415	0.000000
281474976710655.000000	13.500520	4416	0.000000
281474976710655.000000	11.617950	4417	0.000000
281474976710655.000000	14.252507	4418	0.000000
281474976710655.000000	11.006572	4419	0.000000
281474976710655.000000	13.236243	4420	0.000000
281474976710655.000000	11.010909	4421	0.000000
281474976710655.000000	14.727107	4422	0.000000
281474976710655.000000	10.021488	4423	0.000000
281474976710655.000000	13.521062	4424	0.000000
281474976710655.000000	10.812546	4425	0.000000
281474976710655.000000	13.654257	4426	0.000000
281474976710655.000000	10.720300	4427	0.000000
281474976710655.000000	13.103039	4428	0.000000
281474976710655.000000	11.192334	4429	0.000000
281474976710655.000000	13.321527	4430	0.000000
281474976710655.000000	10.435535	4431	0.000000
281474976710655.000000	14.084215	4432	0.000000
281474976710655.000000	10.559937	4433	0.000000
281474976710655.000000	13.854038	4434	0.000000
281474976710655.000000	10.611526	4435	0.000000
281474976710655.000000	13.764091	4436	0.000000
281474976710655.000000	11.102445	4437	0.000000
281474976710655.000000	13.250516	4438	0.000000
281474976710655.000000	10.839841	4439	0.000000
281474976710655.000000	13.082705	4440	0.000000
281474976710655.000000	10.912615	4441	0.000000
281474976710655.000000	12.808934	4442	0.000000
281474976710655.000000	11.131580	4443	0.000000
281474976710655.000000	13.411210	4444	0.000000
281474976710655.000000	10.839268	4445	0.000000
281474976710655.000000	13.423333	4446	0.000000
281474976710655.000000	10.630691	4447	0.000000
281474976710655.000000	12.673922	4448	0.000000
281474976710655.000000	10.925800	4449	0.000000
